N° Etudiant;MIN31100 Principe des syst. d'exp.;MIN31200 Services réseaux;MIN31300 Algo. Avancée;MIN31400 Prog. Web;MIN31500 COO/POO avancées;MIN31600 BD avancées;MIN32100 Proba. et Stats.;MIN32200 Modél. maths;MIN32300 Droit des TIC;MIN32400 Gestion des SI;MIN32500 Expression com. ;MIN32600 Anglais ;MIN33100 Méthodo. Prod. d'appli;MIN33200 Projet tutoré;MIN33300 PPP;MIN3MSPO Sport;Décision
21320324;8,87;7,60;7,50;11,295;10,52;10,89;15,00;15,25;11,50;17,45;11,63;9,33;11,93;13,00;14,50;;VAL
21320148;13,69;7,50;11,00;16,872;12,90;12,96;10,75;19,55;5,50;12,58;12,56;14,07;11,93;13,33;13,25;;VAL
21320117;14,74;18,00;17,00;16,577;13,85;13,36;14,50;19,55;14,00;17,18;11,63;13,20;13,97;15,87;15,00;;VAL
21321469;11,69;10,50;6,00;9,872;6,56;7,46;16,00;10,00;12,50;15,27;13,06;12,67;12,36;13,33;12,00;;VAL
21321086;10,62;8,00;11,50;11,718;14,79;9,77;11,75;12,35;9,00;11,32;15,81;16,00;12,79;15,00;14,00;;VAL
21322309;7,97;13,00;8,00;8,564;9,21;8,72;12,25;4,25;11,50;19,06;11,88;11,47;13,86;13,98;13,50;15;VAL
21320506;6,01;3,70;4,50;8,026;9,51;8,46;9,50;9,15;8,00;11,18;15,06;14,47;11,93;13,17;14,00;;AJNC
21320710;15,41;9,10;2,50;16,385;17,86;13,78;10,50;16,40;9,00;11,83;10,19;13,00;12,68;12,17;11,00;;VAL
21322271;9,95;11,50;14,00;10,231;14,14;10,08;10,25;8,75;16,00;14,75;13,56;14,67;11,29;15,87;15,25;;VAL
21321097;10,49;10,00;8,00;10,769;10,19;9,76;8,50;9,80;6,50;14,20;12,69;12,93;10,86;10,50;13,50;15;VAL
21222061;7,49;11,10;8,00;10,154;9,07;10,56;8,25;5,75;11,00;14,60;10,38;11,60;11,57;12,30;13,00;;VAL
21321788;5,49;3,20;2,00;5,231;1,68;4,00;5,50;5,75;9,00;8,80;4,19;8,40;9,57;13,03;8,50;;AJ
21221595;5,67;7,10;5,50;5,000;4,04;4,40;10,75;12,50;7,00;10,17;8,56;8,60;6,07;8,00;6,50;;AJNC
21320737;15,03;16,90;16,00;15,808;17,14;15,17;14,00;17,25;10,00;16,94;11,13;14,07;14,50;14,33;13,25;12;VAL
21321459;8,80;9,60;3,50;11,359;11,01;9,69;6,00;10,75;9,50;9,09;10,69;8,47;10,68;8,00;6,00;;VPC
21322524;13,37;7,60;14,50;12,077;14,11;10,95;5,25;17,00;12,50;17,02;12,56;13,07;11,07;12,67;13,00;13;VAL
