N° Etudiant;MIN41200 Pog. Répartie;MIN41400 Conception&D appli mobiles;MIN41600 Projets;MIN411P0 Admin syst rés;MIN413P0 Prog web - client riche;MIN415P0 Comp info pr insertion imm;MIN42200 Rech opé & aide à la décision;MIN421P0 Atelier de création d'ent;MIN423P0 Com;MIN424P0 Anglais;MIN43100 Stage professionnnel;MIN3MSPO Sport;Décision;Résultat année
21320324;9;11,5;13,7;9,714;16,667;9,23;10,7;18;11,6;9,13;13,2;;VAL;ADM
21321469;11,25;10,5;11,79;8;13,75;11,96;11,7;13,5;11,4;10,5;13,4;;VAL;ADM
21322309;6,75;7;15,03;11,429;10,417;7,41;10;18,5;11,8;11,67;14,2;15;VAL;ADM
21320506;10,583;13,83;12,98;8,286;11,083;9,18;12,7;12;13,6;14,33;14,2;;VAL;ADM
21222061;9,417;12,17;10,98;9,143;11,25;9,15;10,3;11;10,4;12,92;14,4;;VAL;ADM
21221595;4,083;0;5,17;0;3,583;4,9;0;13,5;4,2;1,17;0;;AJNC;ABD
21321459;9,75;13;9,5;8,571;13,25;9,16;7,7;13,5;6;9,75;10,7;;VAL;ADM
21322105;5,417;7,5;9,06;5,429;11,25;7,6;14,7;9;9,7;10,5;12,4;;VAL;ADM
21321089;10;11;10,76;13,143;17,583;11,07;14;14,5;12,3;11,75;13;;VAL;ADM
21320150;9,583;13,33;11;9,143;11,75;11,39;12;13,5;10,7;14,5;13,1;;VAL;ADM
21220933;13,667;12,25;13,7;11,429;18,333;7,06;6,7;18;13;16,46;15,4;;VAL;ADM
21320250;8,417;11,67;15,03;12,286;12,75;11,34;12,7;18,5;13,8;15,08;15,9;14,75;VAL;ADM
21320539;7,083;8,5;15,03;9,143;10,75;6,99;10,7;18,5;12,2;13,46;14,3;15,25;VAL;ADM
21320334;7,583;10,17;10,98;4,857;9,75;11,46;13,3;11;9,6;9,42;12,4;;VAL;ADM
21320210;5,25;8;15,03;8;9,417;8,74;12,7;12,5;8,8;8,92;12,8;15;AJ;AJ
21221002;0,333;5;7,17;0;9,875;4,97;3,7;0;3,5;7,33;3,6;;AJNC;ADM
21220769;7,75;6,75;14,5;7,714;11,417;9,32;8,3;16;9,8;8,79;12,7;;VAL;ADM
21321642;9,583;11;10,76;12;13,083;17,66;11,7;13,5;8,7;10,5;13,2;;VAL;ADM
21321313;0;0;0;0;0;3,49;0;0;2,8;0,08;10,2;;AJNC;ADM
21322467;9,75;6,17;13,1;7,143;13,125;8,16;13;16;9,4;12,33;10,8;;VAL;ADM
21320720;17,167;11,75;13,1;19,714;18,458;15,74;14;16;13,8;9,17;14,6;;VAL;ADM
21320072;10,75;12,5;14,36;10;13,083;9,08;5,3;13,5;14,8;13,67;15,9;;VAL;ADM
21220967;6,833;9,33;12,69;10,857;10,125;8,02;8;16;12;10,67;12,3;14;VAL;ADM
21321964;11,583;13,67;12,69;13,143;19,083;7,88;10,7;18,5;9,2;11,42;13,6;;VAL;ADM
21322136;8,75;12,5;14,36;7,714;13,417;7,19;11,7;13,5;11,8;16,33;12,8;;VAL;ADM
21320206;11;10,33;11,88;13,429;11,667;10,03;10,7;14;11,2;12,54;15,4;;VAL;ADM
21320126;7,111;8,83;12,69;8,4;14,222;10,95;11;16;12,4;10,08;14,8;;VAL;ADM
21322078;8,417;7,67;12,32;8,857;12,125;12,5;13,3;16;12,6;9,63;10,2;;VAL;ADM
21321075;10,667;15;10,81;10,857;15,25;10,93;15,3;14,5;15,3;18,33;16;;VAL;ADM

